short id,full name,state,party,full name,party,state,distinct,canonical URL,url1,url2
green,"Green, Gene", Texas,,Gene Green,D,TX,29,http://house.gov/green/,gov.house.www/green,
markgreen,"Green, Mark", Wisconsin,,Mark Green,R,WI,8,http://house.gov/markgreen/,,
greenwood,"Greenwood, James", Pennsylvania,,James Greenwood,R,PA,8,http://house.gov/greenwood/,,
luisgutierrez,"Gutierrez, Luis V.", Illinois,,Luis Gutierrez,D,IL,4,http://luisgutierrez.house.gov/,gov.house.luisgutierrez,
gutknecht,"Gutknecht, Gil", Minnesota,,Gil Gutknecht,R,MN,1,http://house.gov/gutknecht/,gov.house.www/gutknecht,
ralphhall,"Hall, Ralph", Texas,,Ralph Hall,D,TX,4,http://house.gov/ralphhall/,gov.house.www/ralphhall,
harman,"Harman, Jane", California,,Jane Harman,D,CA,36,http://house.gov/harman/,gov.house.www/harman,
harris,"Harris, Katherine", Florida,,Katherine Harris,R,FL,13,http://harris.house.gov/,gov.house.harris,
hart,"Hart, Melissa", Pennsylvania,,Melissa Hart,R,PA,4,http://house.gov/hart/,gov.house.hart,
hastert,"Hastert, J. Dennis", Illinois,,Dennis Hastert,R,IL,14,http://house.gov/hastert/,gov.house.www/hastert,
alceehastings,"Hastings, Alcee", Florida,,Alcee Hastings,D,FL,23,http://house.gov/alceehastings/,,
hastings,"Hastings, Doc", Washington,,Doc Hastings,R,WA,4,http://house.gov/hastings/,gov.house.www/hastings,
hayes,"Hayes, Robin", North Carolina,,Robin Hayes,R,NC,8,http://www.hayes.house.gov/,gov.house.hayes,
hayworth,"Hayworth, J.D.", Arizona,,J. D. Hayworth,R,AZ,5,http://www.house.gov/hayworth/,gov.house.www/hayworth,
hefley,"Hefley, Joel", Colorado,,Joel Hefley,R,CO,5,http://house.gov/hefley/,gov.house.www/hefley,
hensarling,"Hensarling, Jeb", Texas,,Jeb Hensarling,R,TX,5,http://www.house.gov/hensarling/,gov.house.www/hensarling,
herger,"Herger, Wally", California,,Wally Herger,R,CA,2,http://house.gov/herger/,gov.house.www/herger,
baronhill,"Hill, Baron", Indiana,,Baron Hill,D,IN,9,http://house.gov/baronhill/,gov.house.baronhill,gov.house.www/baronhill
hinchey,"Hinchey, Maurice", New York,,Maurice Hinchey,D,NY,22,http://house.gov/hinchey/,gov.house.www/hinchey,
hobson,"Hobson, Dave", Ohio,,David Hobson,R,OH,7,http://house.gov/hobson/,gov.house.www/hobson,
hoeffel,"Hoeffel, Joe", Pennsylvania,,Joe Hoeffel,D,PA,13,http://house.gov/hoeffel/,gov.house.hoeffel,gov.house.www/hoeffel
